player,position,team,age,birth_year,minutes_90s,tackles,dribble_tackles,dribbles_vs,dribbled_past,blocks,blocked_shots,interceptions,clearances,errors,club,games,goals,assists,pens_made,cards_yellow,xg,npxg,passes_completed,pass_xa,assisted_shots,crosses_into_penalty_area,progressive_passes,sca,gca,shots,average_shot_distance,through_balls,throw_ins,corner_kicks,touches,miscontrols,dispossessed,gk_goals_against,fouls,fouled,offsides,own_goals,ball_recoveries,aerials_won,unused_subs,points_per_game,on_goals_for,plus_minus
Aaron Mooy,MF,Australia,32-094,1990.0,4.0,9.0,6.0,8.0,2.0,6.0,4.0,3.0,9.0,0.0,Celtic,4.0,0.0,0.0,0.0,1.0,0.0,0.0,170.0,0.1,1.0,0.0,14.0,5.0,0.0,1.0,29.1,0.0,0.0,3.0,255.0,5.0,4.0,,4.0,1.0,0.0,0.0,35.0,2.0,0,1.5,4.0,-2.0
Aaron Ramsey,MF,Wales,31-357,1990.0,3.0,2.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,Nice,3.0,0.0,0.0,0.0,1.0,0.0,0.0,88.0,0.1,1.0,0.0,5.0,3.0,0.0,1.0,18.0,0.0,0.0,1.0,147.0,9.0,4.0,,3.0,3.0,0.0,0.0,19.0,0.0,0,0.33,1.0,-3.0
Abdelhamid Sabiri,MF,Morocco,26-020,1996.0,2.0,3.0,2.0,6.0,4.0,3.0,1.0,5.0,3.0,0.0,Sampdoria,5.0,0.0,1.0,0.0,1.0,0.1,0.1,45.0,0.1,3.0,0.0,0.0,4.0,1.0,3.0,34.2,0.0,0.0,1.0,86.0,0.0,3.0,,2.0,3.0,0.0,0.0,7.0,2.0,2,1.6,5.0,2.0
Abdelkarim Hassan,DF,Qatar,29-112,1993.0,3.0,7.0,3.0,4.0,1.0,3.0,1.0,1.0,5.0,0.0,Al Sadd SC,3.0,0.0,0.0,0.0,0.0,0.3,0.3,122.0,0.1,1.0,0.0,8.0,4.0,1.0,6.0,23.6,0.0,2.0,0.0,193.0,2.0,0.0,,1.0,4.0,1.0,0.0,11.0,3.0,0,0.0,1.0,-6.0
Abderrazak Hamdallah,FW,Morocco,32-001,1990.0,0.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,Al-Ittihad,4.0,0.0,0.0,0.0,0.0,0.4,0.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.8,0.0,0.0,0.0,28.0,4.0,3.0,,3.0,2.0,0.0,0.0,4.0,1.0,3,1.75,2.0,1.0
Abdessamad Ezzalzouli,FW,Morocco,21-001,2001.0,1.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,3.0,0.0,Osasuna,3.0,0.0,0.0,0.0,0.0,0.1,0.1,10.0,0.4,2.0,0.0,2.0,4.0,0.0,1.0,13.7,0.0,1.0,0.0,40.0,9.0,1.0,,4.0,0.0,0.0,0.0,4.0,1.0,4,0.67,0.0,-1.0
Abdou Diallo,DF,Senegal,26-228,1996.0,3.7,2.0,2.0,2.0,0.0,1.0,1.0,1.0,10.0,0.0,RB Leipzig,4.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,1.0,1.0,8.0,2.0,1.0,1.0,15.4,0.0,8.0,0.0,210.0,2.0,2.0,,3.0,0.0,0.0,0.0,17.0,7.0,0,1.5,5.0,0.0
Abdul Fatawu Issahaku,FW,Ghana,18-285,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
Abdulaziz Hatem,MF,Qatar,32-051,1990.0,2.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,Al Rayyan SC,3.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,27.4,0.0,0.0,1.0,98.0,1.0,1.0,,4.0,1.0,0.0,0.0,4.0,1.0,0,0.0,1.0,-4.0
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,1997.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,10.0,0.0,Al-Nassr,3.0,0.0,0.0,0.0,2.0,0.1,0.1,74.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,10.5,0.0,1.0,0.0,129.0,1.0,0.0,,3.0,3.0,0.0,0.0,15.0,10.0,0,1.0,1.0,-3.0
Abdulellah Al-Malki,MF,Saudi Arabia,28-068,1994.0,1.9,3.0,1.0,3.0,2.0,3.0,0.0,2.0,4.0,1.0,Al-Hilal,2.0,0.0,0.0,0.0,2.0,0.1,0.1,66.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,21.1,0.0,0.0,0.0,105.0,3.0,0.0,,8.0,4.0,0.0,0.0,9.0,0.0,0,1.5,2.0,-1.0
Abdullah Madu,DF,Saudi Arabia,29-156,1993.0,0.5,1.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,Al-Nassr,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,19.0,0.0,0.0,,1.0,0.0,0.0,0.0,2.0,1.0,2,0.0,1.0,-1.0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-200,1995.0,0.4,3.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,Al-Ittihad,2.0,0.0,0.0,0.0,0.0,0.1,0.1,8.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.6,0.0,0.0,0.0,22.0,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,1.0,1.0
Abolfazl Jalali,DF,IR Iran,24-175,1998.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Esteghlal,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,,0.0,7.0,0.0,34.0,0.0,1.0,,1.0,4.0,0.0,0.0,3.0,0.0,2,0.0,0.0,0.0
Achraf Dari,DF,Morocco,23-226,1999.0,2.1,1.0,1.0,3.0,2.0,7.0,4.0,5.0,9.0,0.0,Brest,3.0,1.0,0.0,0.0,1.0,0.6,0.6,99.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.1,0.0,0.0,0.0,139.0,0.0,1.0,,2.0,1.0,0.0,0.0,10.0,5.0,4,1.0,1.0,-3.0
Achraf Hakimi,DF,Morocco,24-044,1998.0,7.0,26.0,17.0,28.0,11.0,7.0,1.0,9.0,12.0,0.0,Paris S-G,7.0,0.0,1.0,0.0,0.0,0.1,0.1,312.0,0.6,6.0,5.0,10.0,14.0,1.0,4.0,26.5,1.0,67.0,0.0,478.0,17.0,8.0,,6.0,13.0,0.0,0.0,46.0,5.0,0,1.57,4.0,-1.0
Adrien Rabiot,MF,France,27-259,1995.0,5.4,12.0,4.0,7.0,3.0,11.0,2.0,10.0,6.0,0.0,Juventus,6.0,1.0,1.0,0.0,1.0,1.1,1.1,237.0,0.5,3.0,0.0,13.0,11.0,1.0,9.0,13.3,0.0,2.0,0.0,350.0,5.0,7.0,,10.0,4.0,0.0,0.0,30.0,15.0,0,2.17,13.0,7.0
Agustín Canobbio,MF,Uruguay,24-078,1998.0,0.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Atl Paranaense,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,0.0,2,3.0,0.0,0.0
Ahmad Nourollahi,MF,IR Iran,29-319,1993.0,2.5,4.0,1.0,2.0,1.0,3.0,0.0,6.0,8.0,0.0,Al-Ahli Dubai FC,3.0,0.0,0.0,0.0,0.0,0.1,0.1,35.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,29.2,0.0,0.0,0.0,85.0,3.0,0.0,,2.0,0.0,0.0,0.0,15.0,1.0,0,1.0,1.0,-5.0
Ahmed Alaaeldin,FW,Qatar,29-321,1993.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al-Gharafa Sports Club,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
Aimen Dahmen,GK,Tunisia,25-324,1997.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,CS Sfaxien,3.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,82.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1.33,1.0,0.0
Ajdin Hrustic,MF,Australia,26-166,1996.0,0.7,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,Hellas Verona,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.4,0.0,1.0,0.0,32.0,2.0,1.0,,1.0,2.0,0.0,0.0,3.0,0.0,1,2.0,1.0,1.0
Akram Afif,FW,Qatar,26-030,1996.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Al Sadd SC,3.0,0.0,0.0,0.0,1.0,0.0,0.0,139.0,0.3,5.0,1.0,7.0,7.0,0.0,2.0,29.8,1.0,2.0,6.0,181.0,5.0,5.0,,2.0,6.0,1.0,0.0,14.0,1.0,0,0.0,1.0,-6.0
Alan Franco,MF,Ecuador,24-119,1998.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,Talleres,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,16.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1,1.5,0.0,-1.0
Alejandro Balde,DF,Spain,19-061,2003.0,1.4,6.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,Barcelona,4.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.2,0.0,0.0,4.0,2.0,1.0,1.0,11.3,1.0,11.0,0.0,135.0,2.0,3.0,,2.0,1.0,0.0,0.0,10.0,0.0,0,1.25,4.0,1.0
Aleksandar Mitrović,FW,Serbia,28-093,1994.0,2.9,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Fulham,3.0,2.0,0.0,0.0,1.0,1.6,1.6,54.0,0.1,2.0,0.0,2.0,3.0,0.0,10.0,14.1,0.0,0.0,0.0,95.0,6.0,3.0,,3.0,1.0,1.0,0.0,6.0,5.0,0,0.33,5.0,-3.0
Alex Sandro,DF,Brazil,31-326,1991.0,2.1,8.0,2.0,2.0,0.0,1.0,0.0,3.0,9.0,0.0,Juventus,3.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.2,1.0,1.0,11.0,6.0,0.0,1.0,33.5,0.0,21.0,0.0,193.0,1.0,0.0,,3.0,2.0,0.0,0.0,16.0,3.0,0,2.33,3.0,2.0
Alex Telles,DF,Brazil,30-003,1992.0,0.7,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Sevilla,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,0.0,3.0,0.0,46.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,1,1.5,0.0,0.0
Alexander Bah,DF,Denmark,25-009,1997.0,0.5,4.0,2.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,Benfica,2.0,0.0,0.0,0.0,0.0,0.1,0.1,37.0,0.1,1.0,1.0,2.0,4.0,0.0,2.0,19.3,0.0,7.0,0.0,65.0,0.0,0.0,,1.0,0.0,0.0,0.0,3.0,4.0,1,0.0,0.0,-1.0
Alexander Djiku,DF,Ghana,28-131,1994.0,1.1,1.0,1.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0,Strasbourg,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,43.0,0.0,0.0,,0.0,2.0,0.0,0.0,3.0,2.0,1,1.5,2.0,-1.0
Alexis Mac Allister,MF,Argentina,23-359,1998.0,6.1,9.0,4.0,7.0,3.0,13.0,1.0,3.0,6.0,0.0,Brighton,6.0,1.0,1.0,0.0,0.0,0.7,0.7,234.0,0.7,8.0,0.0,17.0,16.0,2.0,7.0,19.3,0.0,0.0,0.0,332.0,7.0,8.0,,1.0,13.0,0.0,0.0,40.0,5.0,1,2.33,13.0,8.0
Alexis Vega,FW,Mexico,25-023,1997.0,2.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,Guadalajara,3.0,0.0,0.0,0.0,0.0,0.8,0.8,40.0,0.1,1.0,0.0,4.0,4.0,0.0,9.0,21.0,2.0,0.0,4.0,85.0,6.0,8.0,,2.0,6.0,4.0,0.0,16.0,1.0,0,1.33,0.0,-1.0
Ali Abdi,DF,Tunisia,28-363,1993.0,2.1,8.0,3.0,3.0,0.0,1.0,0.0,4.0,13.0,1.0,Caen,3.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,0.1,1.0,0.0,6.0,3.0,0.0,0.0,,0.0,27.0,1.0,152.0,5.0,4.0,,5.0,0.0,1.0,0.0,17.0,9.0,0,1.33,0.0,-1.0
Ali Al Hassan,MF,Saudi Arabia,25-289,1997.0,0.5,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,Al-Nassr,1.0,0.0,0.0,0.0,1.0,0.1,0.1,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.4,0.0,0.0,0.0,15.0,1.0,1.0,,2.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
Ali Al-Bulaihi,DF,Saudi Arabia,33-027,1989.0,2.4,4.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,0.0,Al-Hilal,3.0,0.0,0.0,0.0,1.0,0.0,0.0,78.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,6.0,0.0,110.0,2.0,0.0,,1.0,1.0,0.0,0.0,5.0,3.0,0,1.0,2.0,-1.0
Ali Assadalla,MF,Qatar,29-333,1993.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Al Sadd SC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,24.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
Ali Gholizadeh,MF,IR Iran,26-283,1996.0,2.2,0.0,0.0,2.0,2.0,5.0,0.0,3.0,2.0,0.0,Charleroi,3.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0,0.7,2.0,1.0,4.0,7.0,1.0,1.0,26.2,1.0,3.0,3.0,86.0,2.0,2.0,,3.0,1.0,2.0,0.0,21.0,0.0,0,1.0,2.0,-2.0
Ali Karimi,MF,IR Iran,28-310,1994.0,1.1,3.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,Kayserispor,3.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,,0.0,0.0,0.0,55.0,1.0,0.0,,4.0,1.0,0.0,0.0,6.0,3.0,0,1.0,2.0,-1.0
Ali Maâloul,DF,Tunisia,32-351,1990.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,Al Ahly SC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.1,0.0,1.0,4.0,2.0,0.0,0.0,,0.0,12.0,6.0,70.0,0.0,1.0,,0.0,0.0,0.0,0.0,5.0,0.0,2,3.0,1.0,1.0
Alidu Seidu,DF,Ghana,22-197,2000.0,1.7,6.0,2.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,Clermont Foot,2.0,0.0,0.0,0.0,2.0,0.0,0.0,59.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,31.9,0.0,14.0,0.0,98.0,4.0,0.0,,5.0,5.0,0.0,0.0,6.0,1.0,1,0.0,0.0,-3.0
Alireza Beiranvand,GK,IR Iran,30-088,1992.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Persepolis,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-1.0
Alireza Jahanbakhsh,MF,IR Iran,29-129,1993.0,0.7,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,Feyenoord,2.0,0.0,0.0,0.0,2.0,0.2,0.2,11.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,22.9,0.0,0.0,0.0,27.0,1.0,0.0,,2.0,0.0,0.0,0.0,1.0,0.0,0,1.5,2.0,-1.0
Alisson,GK,Brazil,30-077,1992.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Liverpool,4.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,101.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,1.0,1,2.5,8.0,6.0
Alistair Johnston,DF,Canada,24-071,1998.0,3.0,5.0,2.0,7.0,5.0,6.0,1.0,2.0,4.0,0.0,CF Montréal,3.0,0.0,0.0,0.0,1.0,0.8,0.8,147.0,0.1,3.0,1.0,10.0,8.0,0.0,2.0,8.5,0.0,35.0,0.0,209.0,4.0,1.0,,5.0,3.0,0.0,0.0,16.0,4.0,0,0.0,2.0,-5.0
Almoez Ali,FW,Qatar,26-121,1996.0,2.5,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,Al Duhail SC,3.0,0.0,0.0,0.0,1.0,0.4,0.4,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.4,0.0,0.0,0.0,66.0,6.0,3.0,,2.0,2.0,3.0,0.0,6.0,2.0,0,0.0,1.0,-6.0
Alphonso Davies,MF,Canada,22-046,2000.0,3.0,2.0,0.0,1.0,1.0,5.0,0.0,3.0,1.0,0.0,Bayern Munich,3.0,1.0,0.0,0.0,1.0,1.1,0.3,82.0,0.2,6.0,0.0,2.0,8.0,0.0,3.0,21.0,1.0,15.0,5.0,156.0,11.0,7.0,,4.0,4.0,1.0,0.0,14.0,3.0,0,0.0,2.0,-5.0
Amadou Onana,MF,Belgium,21-124,2001.0,1.2,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Everton,2.0,0.0,0.0,0.0,2.0,0.5,0.5,58.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,8.3,1.0,0.0,0.0,74.0,4.0,1.0,,4.0,3.0,0.0,0.0,7.0,2.0,0,1.5,0.0,0.0
Anass Zaroury,FW,Morocco,22-041,2000.0,0.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Burnley,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15.0,0.0,0.0,,0.0,0.0,1.0,0.0,3.0,0.0,6,0.0,0.0,0.0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-032,1995.0,2.9,4.0,1.0,3.0,2.0,2.0,0.0,5.0,2.0,0.0,Napoli,3.0,0.0,1.0,0.0,0.0,0.1,0.1,113.0,0.1,0.0,0.0,8.0,0.0,0.0,1.0,11.2,0.0,1.0,0.0,159.0,5.0,5.0,,6.0,4.0,0.0,0.0,16.0,4.0,0,1.33,4.0,0.0
Andreas Christensen,DF,Denmark,26-252,1996.0,3.0,4.0,2.0,2.0,0.0,7.0,5.0,4.0,9.0,0.0,Barcelona,3.0,1.0,0.0,0.0,1.0,0.4,0.4,237.0,0.0,0.0,0.0,14.0,2.0,0.0,2.0,5.9,0.0,0.0,0.0,280.0,2.0,1.0,,2.0,1.0,1.0,0.0,20.0,6.0,0,0.33,1.0,-2.0
Andreas Cornelius,FW,Denmark,29-277,1993.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FC Copenhagen,3.0,0.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,3.0,0.0,1.0,5.0,0.0,5.0,10.2,0.0,0.0,0.0,48.0,4.0,1.0,,4.0,2.0,0.0,0.0,2.0,11.0,0,0.33,0.0,0.0
Andreas Skov Olsen,FW,Denmark,22-354,1999.0,1.5,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,Club Brugge,2.0,0.0,0.0,0.0,0.0,0.2,0.2,43.0,0.1,0.0,0.0,3.0,3.0,0.0,4.0,14.6,0.0,4.0,1.0,76.0,4.0,4.0,,2.0,1.0,0.0,0.0,3.0,1.0,1,0.5,0.0,-1.0
Andrej Kramarić,FW,Croatia,31-182,1991.0,5.3,3.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,Hoffenheim,7.0,2.0,0.0,0.0,0.0,1.6,1.6,153.0,0.3,4.0,1.0,4.0,10.0,0.0,10.0,15.1,0.0,3.0,0.0,215.0,7.0,6.0,,1.0,4.0,2.0,0.0,18.0,0.0,0,1.43,6.0,0.0
Andries Noppert,GK,Netherlands,28-255,1994.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Heerenveen,5.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,205.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0,2.2,10.0,6.0
Andrija Živković,DF,Serbia,26-160,1996.0,2.3,5.0,2.0,3.0,1.0,5.0,0.0,3.0,3.0,0.0,PAOK,3.0,0.0,2.0,0.0,0.0,0.1,0.1,71.0,0.8,4.0,0.0,6.0,7.0,2.0,1.0,24.4,2.0,16.0,0.0,118.0,4.0,1.0,,2.0,4.0,0.0,0.0,11.0,2.0,0,0.33,5.0,-1.0
André Ayew,MF,Ghana,33-001,1989.0,2.2,4.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,Al Sadd SC,3.0,1.0,0.0,0.0,1.0,1.1,0.4,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.3,0.0,1.0,0.0,61.0,5.0,4.0,,2.0,6.0,1.0,0.0,6.0,3.0,0,1.0,4.0,-1.0
André Onana,GK,Cameroon,26-260,1996.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inter,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,-1.0
André Silva,FW,Portugal,27-042,1995.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB Leipzig,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,,0.0,0.0,0.0,14.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,4,0.0,0.0,-1.0
Andrés Guardado,MF,Mexico,36-081,1986.0,0.5,4.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,Betis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,22.0,0.0,1.0,,1.0,0.0,0.0,0.0,5.0,0.0,2,0.0,0.0,0.0
Anis Ben Slimane,MF,Tunisia,21-277,2001.0,1.6,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,Brøndby,2.0,0.0,0.0,0.0,0.0,0.1,0.1,29.0,0.1,2.0,0.0,0.0,7.0,0.0,1.0,9.6,0.0,2.0,6.0,72.0,8.0,11.0,,0.0,0.0,0.0,0.0,5.0,5.0,1,2.0,1.0,1.0
Ansu Fati,FW,Spain,20-048,2002.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,33.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2,0.5,0.0,0.0
Ante Budimir,FW,Croatia,31-149,1991.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Osasuna,2.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,10.8,0.0,0.0,0.0,12.0,1.0,1.0,,4.0,2.0,0.0,0.0,0.0,2.0,5,1.0,1.0,1.0
Anthony Contreras,FW,Costa Rica,22-323,2000.0,1.4,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Club Sport Herediano,3.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,38.0,3.0,7.0,,1.0,1.0,0.0,0.0,4.0,5.0,0,1.0,0.0,-4.0
Antoine Griezmann,MF,France,31-272,1991.0,6.0,14.0,3.0,5.0,2.0,8.0,3.0,8.0,7.0,0.0,Atlético Madrid,7.0,0.0,3.0,0.0,1.0,0.7,0.7,258.0,3.6,21.0,5.0,19.0,33.0,3.0,6.0,17.6,4.0,1.0,28.0,381.0,6.0,8.0,,3.0,9.0,3.0,0.0,34.0,5.0,0,2.29,13.0,7.0
Antoine Semenyo,FW,Ghana,22-345,2000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bristol City,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.5,0.0,0.0,0.0,6.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,1.0,1,0.0,0.0,0.0
Antonee Robinson,DF,United States,25-132,1997.0,4.0,5.0,3.0,7.0,4.0,3.0,0.0,7.0,8.0,0.0,Fulham,4.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.2,3.0,0.0,10.0,8.0,0.0,0.0,,0.0,32.0,0.0,288.0,13.0,3.0,,2.0,0.0,1.0,0.0,40.0,5.0,0,1.25,3.0,-1.0
Antonio Rüdiger,DF,Germany,29-290,1993.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,1.0,Real Madrid,3.0,0.0,0.0,0.0,0.0,0.8,0.8,229.0,0.0,0.0,0.0,17.0,4.0,0.0,6.0,17.4,0.0,2.0,0.0,273.0,1.0,0.0,,0.0,3.0,1.0,0.0,20.0,6.0,0,1.33,6.0,1.0
Antony,FW,Brazil,22-297,2000.0,1.9,3.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,Manchester Utd,4.0,0.0,0.0,0.0,0.0,0.2,0.2,86.0,0.2,3.0,0.0,5.0,7.0,0.0,6.0,22.2,0.0,0.0,8.0,145.0,6.0,6.0,,2.0,5.0,0.0,0.0,12.0,1.0,1,1.75,2.0,1.0
